A¤o;Mes;Provincia;Cant¢n;N£mero de Personas;Fecha de Corte
2023;1;AZUAY;CUENCA;402;31/1/2023
2023;1;AZUAY;NABON;1;31/1/2023
2023;1;BOLIVAR;GUARANDA;2;31/1/2023
2023;1;CA¥AR;AZOGUES;13;31/1/2023
2023;1;CA¥AR;BIBLIAN;1;31/1/2023
2023;1;CA¥AR;CA¥AR;7;31/1/2023
2023;1;CA¥AR;LA TRONCAL;1;31/1/2023
2023;1;CARCHI;BOLIVAR;2;31/1/2023
2023;1;CARCHI;MONTUFAR;2;31/1/2023
2023;1;CARCHI;TULCAN;14;31/1/2023
2023;1;CHIMBORAZO;ALAUSI;3;31/1/2023
2023;1;CHIMBORAZO;CHAMBO;1;31/1/2023
2023;1;CHIMBORAZO;CHUNCHI;1;31/1/2023
2023;1;CHIMBORAZO;COLTA;1;31/1/2023
2023;1;CHIMBORAZO;GUAMOTE;153;31/1/2023
2023;1;CHIMBORAZO;PALLATANGA;23;31/1/2023
2023;1;CHIMBORAZO;RIOBAMBA;14;31/1/2023
2023;1;COTOPAXI;LA MANA;1;31/1/2023
2023;1;COTOPAXI;LATACUNGA;38;31/1/2023
2023;1;COTOPAXI;PUJILI;1;31/1/2023
2023;1;EL ORO;EL GUABO;20;31/1/2023
2023;1;EL ORO;MACHALA;166;31/1/2023
2023;1;EL ORO;PASAJE;2;31/1/2023
2023;1;EL ORO;PI¥AS;1;31/1/2023
2023;1;EL ORO;SANTA ROSA;71;31/1/2023
2023;1;ESMERALDAS;ATACAMES;53;31/1/2023
2023;1;ESMERALDAS;ESMERALDAS;1;31/1/2023
2023;1;ESMERALDAS;SAN LORENZO;4;31/1/2023
2023;1;GUAYAS;DURAN;280;31/1/2023
2023;1;GUAYAS;GUAYAQUIL;135;31/1/2023
2023;1;GUAYAS;SAN JACINTO DE YAGUACHI;1;31/1/2023
2023;1;IMBABURA;ANTONIO ANTE;5;31/1/2023
2023;1;IMBABURA;IBARRA;190;31/1/2023
2023;1;IMBABURA;OTAVALO;9;31/1/2023
2023;1;LOJA;GONZANAMA;17;31/1/2023
2023;1;LOJA;LOJA;60;31/1/2023
2023;1;LOJA;OLMEDO;4;31/1/2023
2023;1;LOJA;SARAGURO;6;31/1/2023
2023;1;LOS RIOS;BABAHOYO;7;31/1/2023
2023;1;LOS RIOS;QUEVEDO;3;31/1/2023
2023;1;LOS RIOS;VENTANAS;1;31/1/2023
2023;1;LOS RIOS;VINCES;1;31/1/2023
2023;1;MANABI;BOLIVAR;1;31/1/2023
2023;1;MANABI;CHONE;1;31/1/2023
2023;1;MANABI;MANTA;2;31/1/2023
2023;1;MANABI;PORTOVIEJO;15;31/1/2023
2023;1;MORONA SANTIAGO;GUALAQUIZA;31;31/1/2023
2023;1;MORONA SANTIAGO;HUAMBOYA;5;31/1/2023
2023;1;MORONA SANTIAGO;LIMON INDANZA;12;31/1/2023
2023;1;MORONA SANTIAGO;LOGRO¥O;11;31/1/2023
2023;1;MORONA SANTIAGO;MACAS;195;31/1/2023
2023;1;MORONA SANTIAGO;MORONA;19;31/1/2023
2023;1;MORONA SANTIAGO;PABLO SEXTO;1;31/1/2023
2023;1;MORONA SANTIAGO;PALORA;78;31/1/2023
2023;1;MORONA SANTIAGO;SANTIAGO;22;31/1/2023
2023;1;MORONA SANTIAGO;SUCUA;31;31/1/2023
2023;1;MORONA SANTIAGO;TAISHA;6;31/1/2023
2023;1;MORONA SANTIAGO;TIWINTZA;4;31/1/2023
2023;1;NAPO;ARCHIDONA;69;31/1/2023
2023;1;NAPO;CARLOS JULIO AROSEMENA TOLA;13;31/1/2023
2023;1;NAPO;EL CHACO;64;31/1/2023
2023;1;NAPO;QUIJOS;33;31/1/2023
2023;1;NAPO;TENA;382;31/1/2023
2023;1;ORELLANA;AGUARICO;72;31/1/2023
2023;1;ORELLANA;LA JOYA DE LOS SACHAS;205;31/1/2023
2023;1;ORELLANA;LORETO;20;31/1/2023
2023;1;ORELLANA;PUERTO FRANCISCO DE ORELLANA;701;31/1/2023
2023;1;PASTAZA;ARAJUNO;80;31/1/2023
2023;1;PASTAZA;MERA;11;31/1/2023
2023;1;PASTAZA;PASTAZA;486;31/1/2023
2023;1;PASTAZA;SANTA CLARA;8;31/1/2023
2023;1;PICHINCHA;CAYAMBE;4;31/1/2023
2023;1;PICHINCHA;MEJIA;7;31/1/2023
2023;1;PICHINCHA;QUITO;532;31/1/2023
2023;1;PICHINCHA;RUMI¥AHUI;3;31/1/2023
2023;1;SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO DE LOS TSACHILAS;20;31/1/2023
2023;1;SUCUMBIOS;CASCALES;38;31/1/2023
2023;1;SUCUMBIOS;CUYABENO;66;31/1/2023
2023;1;SUCUMBIOS;GONZALO PIZARRO;4;31/1/2023
2023;1;SUCUMBIOS;LAGO AGRIO;435;31/1/2023
2023;1;SUCUMBIOS;NUEVA LOJA;179;31/1/2023
2023;1;SUCUMBIOS;PUTUMAYO;7;31/1/2023
2023;1;SUCUMBIOS;SHUSHUFINDI;374;31/1/2023
2023;1;SUCUMBIOS;SUCUMBIOS;32;31/1/2023
2023;1;TUNGURAHUA;AMBATO;205;31/1/2023
2023;1;TUNGURAHUA;QUERO;1;31/1/2023
2023;1;TUNGURAHUA;SANTIAGO DE PILLARO;2;31/1/2023
2023;1;ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;6;31/1/2023
2023;1;ZAMORA CHINCHIPE;CHINCHIPE;7;31/1/2023
2023;1;ZAMORA CHINCHIPE;EL PANGUI;243;31/1/2023
2023;1;ZAMORA CHINCHIPE;NANGARITZA;39;31/1/2023
2023;1;ZAMORA CHINCHIPE;PALANDA;121;31/1/2023
2023;1;ZAMORA CHINCHIPE;PAQUISHA;19;31/1/2023
2023;1;ZAMORA CHINCHIPE;YACUAMBI;4;31/1/2023
2023;1;ZAMORA CHINCHIPE;YANTZAZA;366;31/1/2023
2023;1;ZAMORA CHINCHIPE;ZAMORA;171;31/1/2023
2023;2;AZUAY;CUENCA;336;28/2/2023
2023;2;AZUAY;GUALACEO;3;28/2/2023
2023;2;AZUAY;SANTA ISABEL;10;28/2/2023
2023;2;BOLIVAR;GUARANDA;2;28/2/2023
2023;2;CA¥AR;AZOGUES;5;28/2/2023
2023;2;CARCHI;ESPEJO;1;28/2/2023
2023;2;CARCHI;MIRA;1;28/2/2023
2023;2;CARCHI;TULCAN;30;28/2/2023
2023;2;CHIMBORAZO;ALAUSI;10;28/2/2023
2023;2;CHIMBORAZO;CHAMBO;1;28/2/2023
2023;2;CHIMBORAZO;COLTA;11;28/2/2023
2023;2;CHIMBORAZO;GUAMOTE;1;28/2/2023
2023;2;CHIMBORAZO;PALLATANGA;2;28/2/2023
2023;2;CHIMBORAZO;RIOBAMBA;32;28/2/2023
2023;2;COTOPAXI;LA MANA;1;28/2/2023
2023;2;COTOPAXI;LATACUNGA;20;28/2/2023
2023;2;COTOPAXI;SAQUISILI;2;28/2/2023
2023;2;EL ORO;EL GUABO;33;28/2/2023
2023;2;EL ORO;HUAQUILLAS;1;28/2/2023
2023;2;EL ORO;MACHALA;67;28/2/2023
2023;2;EL ORO;PI¥AS;3;28/2/2023
2023;2;EL ORO;SANTA ROSA;101;28/2/2023
2023;2;ESMERALDAS;ATACAMES;24;28/2/2023
2023;2;ESMERALDAS;ELOY ALFARO;1;28/2/2023
2023;2;ESMERALDAS;ESMERALDAS;11;28/2/2023
2023;2;ESMERALDAS;QUININDE;1;28/2/2023
2023;2;ESMERALDAS;RIOVERDE;2;28/2/2023
2023;2;GUAYAS;BALZAR;5;28/2/2023
